Incident_Type,Statute_Type,Block_Address,Occurred_Datetime,Statute_Description
Alcohol Related Offense,Vehicle Code,ALCATRAZ AVE  &  SACRAMENTO ST,2025-01-28 08:54:00,DUI ALCOHOL/0.08 PERCENT
Burglary Auto,Penal Code,1800 SHATTUCK AVE,2024-04-19 03:15:00,BURGLARY OF AUTO
Alcohol Related Offense,Vehicle Code,ALCATRAZ AVE  &  SACRAMENTO ST,2025-01-28 08:54:00,DUI ALCOHOL
Fraud/Forgery,Penal Code,1900 SHATTUCK AVE,2024-03-12 00:00:00,GET CREDIT/ETC OTHER'S ID BY IDENTITY THEFT 
Theft Misdemeanor (Under $950),Penal Code,1500   ALCATRAZ AVE,2024-11-30 09:00:00,PETTY THEFT (ALL OTHER)
Brandishing a weapon,Penal Code,1900 SHATTUCK AVE,2023-11-07 15:39:00,Exhibit deadly weapon other than firearm
Disturbance,Penal Code,SACRAMENTO ST  &  ALCATRAZ AVE,2024-11-30 00:20:00,BATTERY ON PERSON
Disturbance,Penal Code,SACRAMENTO ST  &  ALCATRAZ AVE,2024-11-30 00:20:00,FIGHT/CHALLENGE FIGHT PUBLIC PLACE
Brandishing a weapon,Penal Code,1900 SHATTUCK AVE,2023-11-07 15:39:00,Trespass: obstruct/etc business operations
Disturbance,Penal Code,SACRAMENTO ST  &  ALCATRAZ AVE,2024-11-30 00:20:00,THREATEN CRIME WITH INTENT TO TERRORIZE
Vandalism,Penal Code,1800 SHATTUCK AVE,2023-10-27 03:00:00,VIOLATE CIVIL RIGHTS BY FORCE OR THREAT OF FORCE
Disturbance,Penal Code,SACRAMENTO ST  &  ALCATRAZ AVE,2024-11-30 00:20:00,GRAND THEFT FROM PERSON
Vandalism,Penal Code,1800 SHATTUCK AVE,2023-10-27 03:00:00,Vandalism:  Deface property
Assault/Battery Misdemeanor,Penal Code,SACRAMENTO ST  &  ALCATRAZ AVE,2024-11-15 22:40:00,BATTERY ON PERSON
Theft Felony (over $950),Penal Code,1900 SHATTUCK AVE,2023-08-11 18:10:00,Grand theft: money; labor; or property over $950
Vehicle Stolen,Vehicle Code,1500 ALCATRAZ AVE,2024-10-25 04:20:00,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT
Burglary Commercial,Penal Code,1900 SHATTUCK AVE,2023-02-02 11:45:00,Burglary
Vandalism,Penal Code,3200 SACRAMENTO ST,2024-09-12 14:26:00,VANDALISM ($400 OR MORE)
Vandalism,Penal Code,3200 SACRAMENTO ST,2024-09-12 14:26:00,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM
Vandalism,Penal Code,3200 SACRAMENTO ST,2024-09-12 14:26:00,CONTEMPT OF COURT: DISOBEY COURT ORDER
Theft from Auto,Penal Code,2000 HEARST AVE,2023-01-22 05:00:00,Grand theft: money; labor; or property over $950
Vehicle Recovered,Vehicle Code,1500 ALCATRAZ AVE,2024-08-19 11:25:00,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT
Burglary Commercial,Penal Code,1900 SHATTUCK AVE,2023-01-15 04:00:00,Burglary
Assault/Battery Misdemeanor,Penal Code,1500 ALCATRAZ AVE,2024-08-03 08:55:00,BATTERY ON PERSON
Alcohol Related Offense,Vehicle Code,SACRAMENTO ST  &  ALCATRAZ AVE,2024-08-02 03:00:00,DUI ALCOHOL:CAUSING BODILY INJURY
Alcohol Related Offense,Vehicle Code,SACRAMENTO ST  &  ALCATRAZ AVE,2024-08-02 03:00:00,DUI .08 ALCOHOL:CAUSING BODILY INJURY
Alcohol Related Offense,Penal Code,SACRAMENTO ST  &  ALCATRAZ AVE,2024-08-02 03:00:00,MFG/SALE/ETC LEADED CANE
Vehicle Stolen,Penal Code,ALCATRAZ AVE  &  SACRAMENTO ST,2024-07-27 05:12:00,CONTEMPT OF COURT: DISOBEY COURT ORDER
Disturbance,Penal Code,1100 HIGH CT,2025-03-27 20:55:00,ANNOYING TELEPHONE CALL:OBSCENE/THREATENING
Vehicle Stolen,Penal Code,ALCATRAZ AVE  &  SACRAMENTO ST,2024-07-27 05:12:00,POSSESS STOLEN VEHICLE/VESSEL/ETC
Identity Theft,Penal Code,1000 KEITH AVE,2023-01-23 18:00:00,Obtain credit using another identification
Vehicle Stolen,Penal Code,ALCATRAZ AVE  &  SACRAMENTO ST,2024-07-27 05:12:00,POSSESS PERSONAL IDENTIFYING INFO; IDENTITY THEFT
Identity Theft,Penal Code,1000 KEITH AVE,2023-01-23 18:00:00,Grand theft: money; labor; or property over $950
Vehicle Stolen,Health and Safety,ALCATRAZ AVE  &  SACRAMENTO ST,2024-07-27 05:12:00,POSSESS CONTROLLED SUBSTANCE
Brandishing a weapon,Penal Code,1500 ALCATRAZ AVE,2024-06-21 01:10:00,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM
Vehicle Stolen,Vehicle Code,1500 ALCATRAZ AVE,2024-05-27 00:00:00,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT
Theft Felony (over $950),Penal Code,1500 ALCATRAZ AVE,2024-05-24 10:50:00,GRAND THEFT VEHICLE PARTS
Vehicle Recovered,Health and Safety,SACRAMENTO ST  &  ALCATRAZ AVE,2024-05-09 23:11:00,POSSESS CONTROLLED SUBSTANCE
Vehicle Recovered,Penal Code,SACRAMENTO ST  &  ALCATRAZ AVE,2024-05-09 23:11:00,POSSESS STOLEN VEHICLE/VESSEL/ETC
Vehicle Code Violation,Penal Code,SACRAMENTO ST  &  ALCATRAZ AVE,2024-04-18 11:37:00,OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH
Vehicle Code Violation,Vehicle Code,SACRAMENTO ST  &  ALCATRAZ AVE,2024-04-18 11:37:00,DUI ALCOHOL
Domestic violence,Penal Code,SACRAMENTO ST  &  ALCATRAZ AVE,2024-04-01 20:24:00,PETTY THEFT (ALL OTHER)
Domestic violence,Penal Code,SACRAMENTO ST  &  ALCATRAZ AVE,2024-04-01 20:24:00,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC
Vehicle Code Violation,Vehicle Code,SACRAMENTO ST  &  ALCATRAZ AVE,2024-03-23 17:25:00,HIT AND RUN RESULTING IN DEATH OR INJURY
Disturbance,Penal Code,KALA BAGAI WAY  &  ADDISON ST,2025-03-27 19:15:00,INDECENT EXPOSURE
Vehicle Code Violation,Vehicle Code,ALCATRAZ AVE  &  SACRAMENTO ST,2024-01-11 04:09:00,Driving w/ license suspended for DUI of drugs/alcohol
Theft Misdemeanor (Under $950),Penal Code,2000 KALA BAGAI WAY,2024-09-18 18:19:00,PETTY THEFT SHOPLIFTING
Vehicle Stolen,Vehicle Code,1500 ALCATRAZ AVE,2023-09-11 05:00:00,Take vehicle without owner's consent
Burglary Commercial,Penal Code,2000 KALA BAGAI WAY,2024-09-11 13:00:00,BURGLARY - BREAKING AND ENTERING
Disturbance,Health and Safety,1500 ALCATRAZ AVE,2023-08-21 10:04:00,Possess narcotics paraphernalia
Narcotics Violation,Penal Code,2001 KALA BAGAI WAY,2024-05-30 01:28:00,POSSESS/ETC BURGLARY TOOLS
Narcotics Violation,Health and Safety,2001 KALA BAGAI WAY,2024-05-30 01:28:00,POSSESS CONTROLLED SUBSTANCE
Disturbance,Penal Code,1500 ALCATRAZ AVE,2023-08-21 10:04:00,Disorderly conduct:  Intoxication of drug and/or alcohol
Disturbance,Penal Code,1500 ALCATRAZ AVE,2023-08-21 10:04:00,Probation Violation : Misdemeanor
Theft Misdemeanor (Under $950),Penal Code,1300   9TH ST,2025-03-03 05:07:00,PETTY THEFT (ALL OTHER)
Burglary Auto,Penal Code,1300 9TH ST,2025-01-18 03:00:00,BURGLARY OF AUTO
Assault/Battery Misdemeanor,Penal Code,1300 9TH ST,2024-12-29 05:40:00,BATTERY ON PERSON
Narcotics Violation,Health and Safety,GILMAN ST  &  9TH ST,2024-12-17 20:25:00,POSSESS UNLAWFUL PARAPHERNALIA
Narcotics Violation,Penal Code,GILMAN ST  &  9TH ST,2024-12-17 20:25:00,MANUFACTURE/SALE/POSSESS/ETC LEADED CANE/BILLY/ETC
Narcotics Violation,Health and Safety,GILMAN ST  &  9TH ST,2024-12-17 20:25:00,POSSESS NARCOTIC CONTROLLED SUBSTANCE
Vehicle Recovered,Penal Code,GILMAN ST  &  9TH ST,2024-12-02 23:36:00,POSSESS/ETC BURGLARY TOOLS
Vehicle Recovered,Penal Code,GILMAN ST  &  9TH ST,2024-12-02 23:36:00,RECEIVE/ETC KNOWN STOLEN PROPERTY
Narcotics Violation,Health and Safety,GILMAN ST  &  9TH ST,2024-11-25 04:41:00,TRANSPORT/ETC CONTROLLED SUBSTANCE
Disturbance,Penal Code,2200 ASHBY AVE,2025-03-27 16:34:00,ANNOYING TELEPHONE CALL:OBSCENE/THREATENING
Disturbance,Penal Code,2200 ASHBY AVE,2025-03-26 21:00:00,CAUSE INJ ELDER/DEP ADULT SIMPLE ASSAULT
Vehicle Recovered,Vehicle Code,2200 ASHBY AVE,2024-05-22 05:30:00,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT
Burglary Residential,Penal Code,2200 ASHBY AVE,2023-04-05 13:35:00,Petty Theft
Burglary Residential,Penal Code,2200 ASHBY AVE,2023-04-05 13:35:00,Disorderly conduct: loiter/etc private property
Burglary Residential,Penal Code,2200 ASHBY AVE,2023-03-23 15:30:00,Obtain credit using another identification
Burglary Residential,Penal Code,2200 ASHBY AVE,2023-03-23 15:30:00,Burglary
Burglary Auto,Penal Code,1300 9TH ST,2025-03-27 15:15:00,BURGLARY OF AUTO
Disturbance,Penal Code,1300 9TH ST,2025-03-16 07:53:00,PROBATION VIOLATION: REARREST/REVOKE
Disturbance,Health and Safety,1300 9TH ST,2025-03-16 07:53:00,POSSESS UNLAWFUL PARAPHERNALIA
Narcotics Violation,Penal Code,GILMAN ST  &  9TH ST,2024-11-25 04:41:00,MANUFACTURE/SALE/POSSESS/ETC LARGE CAPACITY MAGAZINE
Narcotics Violation,Health and Safety,GILMAN ST  &  9TH ST,2024-11-25 04:41:00,POSSESS UNLAWFUL PARAPHERNALIA
Narcotics Violation,Health and Safety,GILMAN ST  &  9TH ST,2024-11-25 04:41:00,POSSESS CONTROLLED SUBSTANCE FOR SALE
Fraud/Forgery,Penal Code,1300 9TH ST,2024-11-07 16:00:00,GRAND THEFT (ALL OTHER)
Fraud/Forgery,Penal Code,1300 9TH ST,2024-11-07 16:00:00,GET CREDIT/ETC OTHER'S ID BY IMPERSONATION
Burglary Commercial,Penal Code,1300 9TH ST,2024-06-04 08:01:00,BRING ALCOHOL/DRUGS/ETC INTO PRISON/JAIL/ETC
Burglary Commercial,Health and Safety,1300 9TH ST,2024-06-04 08:01:00,POSSESS CONTROLLED SUBSTANCE
Burglary Commercial,Penal Code,1300 9TH ST,2024-06-04 08:01:00,BURGLARY - BREAKING AND ENTERING
Burglary Commercial,Penal Code,1300 9TH ST,2024-06-04 08:01:00,GET CREDIT/ETC OTHER'S ID BY IDENTITY THEFT 
Fraud/Forgery,Health and Safety,9TH ST  &  GILMAN ST,2024-05-06 22:04:00,POSSESS CONTROLLED SUBSTANCE
Fraud/Forgery,Penal Code,9TH ST  &  GILMAN ST,2024-05-06 22:04:00,GET CREDIT/ETC OTHER'S ID BY IDENTITY THEFT 
Burglary Auto,Penal Code,1300 9TH ST,2023-12-29 18:00:00,Burglary of a locked automobile
Vehicle Code Violation,Vehicle Code,9TH ST  &  GILMAN ST,2023-12-19 00:18:00,DUI:  Drugs only
Burglary Auto,Penal Code,1300 9TH ST,2023-09-28 15:18:00,Burglary of a locked automobile
Burglary Commercial,Penal Code,1300 9TH ST,2023-09-19 09:17:00,Burglary
Theft from Auto,Penal Code,9TH ST  &  GILMAN ST,2023-09-16 23:00:00,Burglary of a locked automobile
Burglary Auto,Penal Code,1300 9TH ST,2023-04-12 14:00:00,Burglary of a locked automobile
Burglary Residential,Penal Code,2000 HASTE ST,2025-03-27 14:00:00,BURGLARY - BREAKING AND ENTERING
Burglary Commercial,Penal Code,1300 9TH ST,2023-03-23 01:00:00,Burglary
Theft from Auto,Penal Code,2400 SHATTUCK AVE,2024-11-10 03:55:00,PETTY THEFT FROM VEHICLE
Vehicle Stolen,Vehicle Code,1300 9TH ST,2023-03-07 14:15:00,Take vehicle without owner's consent
Burglary Commercial,Penal Code,2400 SHATTUCK AVE,2024-10-29 07:01:00,BURGLARY - BREAKING AND ENTERING
Theft Felony (over $950),Penal Code,GILMAN ST  &  9TH ST,2023-02-25 05:15:00,Grand theft: money; labor; or property over $950
Burglary Auto,Penal Code,1300 9TH ST,2023-02-24 18:30:00,Burglary of a locked automobile
Vandalism,Penal Code,2400 SHATTUCK AVE,2024-08-16 23:00:00,VANDALISM:DEFACE PROPERTY
Vehicle Stolen,Penal Code,9TH ST  &  GILMAN ST,2023-02-23 11:45:00,Carjacking
Identity Theft,Penal Code,2000 HASTE ST,2024-07-29 05:40:00,GET CREDIT/ETC OTHER'S ID BY IDENTITY THEFT 
Burglary Commercial,Penal Code,1300 9TH ST,2023-02-20 11:40:00,Burglary
Burglary Commercial,Penal Code,2400 SHATTUCK AVE,2024-07-25 11:00:00,BURGLARY - BREAKING AND ENTERING
Disturbance,Penal Code,2400 SHATTUCK AVE,2024-07-08 21:32:00,ANNOYING TELEPHONE CALL:OBSCENE/THREATENING
Vehicle Stolen,Vehicle Code,MILVIA ST  &  HASTE ST,2024-07-06 06:00:00,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT
Vehicle Stolen,Vehicle Code,2000 HASTE ST,2024-06-25 08:00:00,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT
Burglary Commercial,Penal Code,2400 SHATTUCK AVE,2024-05-25 08:45:00,BURGLARY - BREAKING AND ENTERING
Burglary Commercial,Penal Code,2400 SHATTUCK AVE,2024-05-22 00:00:00,BURGLARY - BREAKING AND ENTERING
Vehicle Stolen,Vehicle Code,2000 HASTE ST,2024-05-20 00:00:00,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT
Gun/Weapon,Penal Code,2400 SHATTUCK AVE,2024-04-28 20:04:00,POSSESS/ETC BURGLARY TOOLS
Gun/Weapon,Penal Code,2400 SHATTUCK AVE,2024-04-28 20:04:00,CARRY CONCEALED DIRK OR DAGGER
Vehicle Code Violation,Vehicle Code,MILVIA ST  &  HASTE ST,2024-04-20 05:17:00,EVADING PEACE OFFICER
Domestic violence,Penal Code,2000 HASTE ST,2023-11-23 07:25:00,Battery: ex-spouse; dating; etc (hospital required)
Identity Theft,Penal Code,2000 HASTE ST,2023-10-12 20:25:00,Obtain credit using another identification
Disturbance,Penal Code,2000 HASTE ST,2023-10-09 04:40:00,TRESPASSING
Burglary Auto,Penal Code,2000 HASTE ST,2023-08-28 05:20:00,Burglary of a locked automobile
Identity Theft,Penal Code,2000 HASTE ST,2023-08-01 16:05:00,Obtain credit using another identification
Fraud/Forgery,Penal Code,2000 HASTE ST,2023-05-01 12:00:00,FORGE/ETC/HANDWRITING/ETC
Vehicle Stolen,Vehicle Code,2000 HASTE ST,2023-04-30 07:00:00,Take vehicle without owner's consent
Theft Misdemeanor (Under $950),Penal Code,2000 HASTE ST,2023-04-30 05:30:00,Petty Theft
Theft Misdemeanor (Under $950),Penal Code,2000 HASTE ST,2023-04-30 01:30:00,Petty Theft
Theft from Auto,Penal Code,2000 HASTE ST,2023-03-21 22:32:00,Grand theft: money; labor; or property over $950
Vandalism,Penal Code,HASTE ST  &  MILVIA ST,2023-02-02 09:50:00,Vandalism:  Destroy other's property
Vandalism,Penal Code,1600 UNIVERSITY AVE,2023-04-06 08:00:00,Vandalism:  Deface property
Domestic violence,Penal Code,1600 UNIVERSITY AVE,2023-03-27 10:39:00,Violate court order to prevent domestic violence
Domestic violence,Penal Code,1600 UNIVERSITY AVE,2023-03-27 10:39:00,Battery: ex-spouse; dating; etc (no hospital required)
Burglary Auto,Penal Code,2500 WOOLSEY ST,2025-03-27 06:00:00,BURGLARY OF AUTO
Theft from Auto,Penal Code,100   FAIRLAWN DR,2025-03-27 14:00:00,GRAND THEFT VEHICLE PARTS
Vandalism,Penal Code,1600 UNIVERSITY AVE,2023-03-07 13:15:00,Vandalism less than $400
Theft Misdemeanor (Under $950),Penal Code,100 FAIRLAWN DR,2024-08-18 05:00:00,CONSPIRACY:COMMIT CRIME
Burglary Residential,Penal Code,2500 WOOLSEY ST,2025-01-18 05:18:00,BURGLARY - BREAKING AND ENTERING
Theft Misdemeanor (Under $950),Penal Code,1600 UNIVERSITY AVE,2023-02-12 17:50:00,Petty Theft
Theft Misdemeanor (Under $950),Penal Code,100 FAIRLAWN DR,2024-08-18 05:00:00,PETTY THEFT FROM VEHICLE
Theft from Auto,Penal Code,2500 WOOLSEY ST,2023-07-06 10:15:00,Grand theft: money; labor; or property over $950
Disturbance,Penal Code,1600 UNIVERSITY AVE,2023-02-01 16:26:00,Indecent exposure/illegally enter occupied dwelling
Theft Misdemeanor (Under $950),Penal Code,100 FAIRLAWN DR,2024-08-18 05:00:00,RECEIVE/ETC KNOWN STOLEN PROPERTY
Theft from Auto,Penal Code,HILLEGASS AVE  &  WOOLSEY ST,2023-07-01 19:00:00,PETTY THEFT FROM VEHICLE
Theft Misdemeanor (Under $950),Penal Code,100 FAIRLAWN DR,2024-08-18 05:00:00,GET CREDIT/ETC OTHER'S ID BY IDENTITY THEFT 
Burglary Auto,Penal Code,1600 UNIVERSITY AVE,2023-01-21 11:00:00,Burglary of a locked automobile
Vehicle Stolen,Vehicle Code,100 FAIRLAWN DR,2024-05-10 04:30:00,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT
Theft from Auto,Penal Code,100 FAIRLAWN DR,2023-05-29 05:24:00,Grand theft: money; labor; or property over $950
Theft Felony (over $950),Penal Code,100 FAIRLAWN DR,2023-05-26 12:25:00,Grand theft: money; labor; or property over $950
Vehicle Stolen,Vehicle Code,2300 CEDAR ST,2025-03-27 04:00:00,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT
Vehicle Stolen,Vehicle Code,1600 ARCH ST,2024-08-03 05:00:00,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT
Disturbance,Penal Code,1600 UNIVERSITY AVE,2025-03-27 10:02:00,TRESPASS:REFUSE TO LEAVE PROPERTY
Theft Misdemeanor (Under $950),Penal Code,1600 UNIVERSITY AVE,2024-11-12 02:09:00,MISD - THEFT BY USE OF ACCESS CARD INFORMATION
Assault/Battery Misdemeanor,Penal Code,HEARST AVE  &  MILVIA ST,2025-03-27 03:30:00,BATTERY ON PERSON
Disturbance,Penal Code,1900 BONITA AVE,2025-03-17 09:17:00,DISORDERLY CONDUCT:LOITER/ETC PRIVATE PROPERTY
Theft from Auto,Penal Code,1900 BONITA AVE,2024-10-09 02:30:00,GRAND THEFT VEHICLE PARTS
Theft Misdemeanor (Under $950),Penal Code,1900 HEARST AVE,2024-03-27 18:00:00,PETTY THEFT (ALL OTHER)
Disturbance,Penal Code,1900 HEARST AVE,2024-03-15 16:00:00,False Imprisonment
Vehicle Stolen,Vehicle Code,HEARST AVE  &  MILVIA ST,2024-02-06 21:00:00,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT
Domestic violence,Penal Code,HEARST AVE  &  MILVIA ST,2023-12-21 01:14:00,Battery: ex-spouse; dating; etc (hospital required)
Domestic violence,Penal Code,HEARST AVE  &  MILVIA ST,2023-12-21 01:14:00,False Imprisonment
Domestic violence,Penal Code,HEARST AVE  &  MILVIA ST,2023-12-21 01:14:00,Kidnapping
Domestic violence,Penal Code,HEARST AVE  &  MILVIA ST,2023-12-21 01:14:00,ATTEMPT TO PREVENT/DISSUADE VICTIM/WITNESS
Robbery,Penal Code,MILVIA ST  &  HEARST AVE,2023-11-17 05:00:00,Robbery
Burglary Auto,Penal Code,1900 HEARST AVE,2023-07-18 01:00:00,Burglary of a locked automobile
Domestic violence,Penal Code,HEARST AVE  &  MILVIA ST,2023-05-01 05:30:00,Violate court order to prevent domestic violence
Domestic violence,Penal Code,HEARST AVE  &  MILVIA ST,2023-05-01 05:30:00,False identification to peace officers
Vehicle Stolen,Vehicle Code,MILVIA ST  &  HEARST AVE,2023-01-01 01:00:00,Take vehicle without owner's consent
Burglary Residential,Penal Code,1600 UNIVERSITY AVE,2024-10-03 19:00:00,BURGLARY - BREAKING AND ENTERING
Theft Misdemeanor (Under $950),Penal Code,1600 UNIVERSITY AVE,2024-09-10 01:00:00,PETTY THEFT OF PROPERTY FROM BUILDING
Domestic violence,Penal Code,1600 UNIVERSITY AVE,2024-07-08 00:00:00,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC
Theft Misdemeanor (Under $950),Penal Code,1600 UNIVERSITY AVE,2024-07-06 20:45:00,PETTY THEFT OF PROPERTY FROM BUILDING
Domestic violence,Penal Code,1600 UNIVERSITY AVE,2024-07-06 10:00:00,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC
Identity Theft,Penal Code,1600 UNIVERSITY AVE,2024-07-01 23:00:00,GET CREDIT/ETC OTHER'S ID BY IDENTITY THEFT 
Burglary Residential,Penal Code,1600 UNIVERSITY AVE,2024-04-18 17:41:00,BURGLARY - BREAKING AND ENTERING
Burglary Residential,Penal Code,1600 UNIVERSITY AVE,2024-04-15 23:30:00,BURGLARY - BREAKING AND ENTERING
Burglary Residential,Penal Code,1600 UNIVERSITY AVE,2024-04-15 18:00:00,BURGLARY - BREAKING AND ENTERING
Gun/Weapon,Penal Code,1600 UNIVERSITY AVE,2024-04-13 15:41:00,PROHIBITED PERSON OWN/POSSESS/ETC AMMUNITION
Theft Misdemeanor (Under $950),Penal Code,800 DELAWARE ST,2025-03-27 07:45:00,PETTY THEFT (ALL OTHER)
Gun/Weapon,Penal Code,1600 UNIVERSITY AVE,2024-04-13 15:41:00,PROBATION VIOLATION: REARREST/REVOKE
Theft from Auto,Penal Code,800   DELAWARE ST,2024-11-25 07:35:00,GRAND THEFT VEHICLE PARTS
Disturbance,Penal Code,1600 UNIVERSITY AVE,2024-04-09 21:00:00,PROHIBITED PERSON OWN/POSSESS/ETC AMMUNITION
Burglary Commercial,Penal Code,800 DELAWARE ST,2024-09-28 12:15:00,BURGLARY - BREAKING AND ENTERING
Disturbance,Health and Safety,1600 UNIVERSITY AVE,2024-04-09 21:00:00,POSSESS CONTROLLED SUBSTANCE
Burglary Auto,Penal Code,800 DELAWARE ST,2024-07-22 18:00:00,BURGLARY OF AUTO
Burglary Residential,Penal Code,1600 UNIVERSITY AVE,2024-04-05 06:00:00,BURGLARY - BREAKING AND ENTERING
Burglary Commercial,Penal Code,800 DELAWARE ST,2024-07-08 01:18:00,BURGLARY - BREAKING AND ENTERING
Theft Misdemeanor (Under $950),Penal Code,1600 UNIVERSITY AVE,2024-04-03 15:00:00,PETTY THEFT (ALL OTHER)
Burglary Auto,Penal Code,800 DELAWARE ST,2023-09-12 02:00:00,Burglary of a locked automobile
Theft Misdemeanor (Under $950),Penal Code,1600 UNIVERSITY AVE,2024-03-25 00:57:00,PETTY THEFT (ALL OTHER)
Burglary Auto,Penal Code,800 DELAWARE ST,2023-06-06 17:00:00,Burglary of a locked automobile
Disturbance,Penal Code,1600 UNIVERSITY AVE,2024-01-11 16:12:00,TRESPASSING
Burglary Auto,Penal Code,800 DELAWARE ST,2023-06-06 17:00:00,VIOLATION PAROLE:FELONY
Disturbance,Penal Code,1600 UNIVERSITY AVE,2024-01-11 16:12:00,CONTEMPT OF COURT: DISORDERLY/ETC BEHAVIOR
Burglary Auto,Penal Code,800 DELAWARE ST,2023-06-06 17:00:00,PROBATION VIOLATION: REARREST/REVOKE
Fraud/Forgery,Penal Code,1600 UNIVERSITY AVE,2024-01-04 08:00:00,THEFT ELDER/DEPENDANT ADULT (OVER $950)
Burglary Auto,Vehicle Code,800 DELAWARE ST,2023-06-06 17:00:00,Take vehicle without owner's consent
Domestic violence,Penal Code,1600 UNIVERSITY AVE,2023-12-07 16:00:00,Battery: ex-spouse; dating; etc (hospital required)
Theft Misdemeanor (Under $950),Penal Code,1600 UNIVERSITY AVE,2023-11-05 01:30:00,Petty Theft
Disturbance,Penal Code,1600 UNIVERSITY AVE,2023-09-16 06:00:00,TRESPASS:POSTED LAND:REFUSE TO LEAVE
Disturbance,Penal Code,1600 UNIVERSITY AVE,2023-09-16 06:00:00,Probation Violation : Misdemeanor
Burglary Residential,Penal Code,1600 UNIVERSITY AVE,2023-09-15 17:00:00,Burglary
Disturbance,Penal Code,1600 UNIVERSITY AVE,2023-08-30 14:44:00,ENTER/ETC NONCOMMERCIAL DWELLING
Burglary Commercial,Penal Code,1600 UNIVERSITY AVE,2023-08-29 11:27:00,Burglary
Burglary Residential,Penal Code,1600 UNIVERSITY AVE,2023-06-11 07:00:00,Burglary
Fraud/Forgery,Penal Code,1600 UNIVERSITY AVE,2023-04-23 21:19:00,Obtain credit using another identification
Domestic violence,Penal Code,1600 UNIVERSITY AVE,2023-04-19 18:10:00,Corporal injury on spouse or cohabitant (hospital required)
Burglary Auto,Penal Code,2800 7TH ST,2024-01-18 16:15:00,BURGLARY OF AUTO
Burglary Auto,Penal Code,9TH ST  &  VIRGINIA ST,2024-08-30 00:00:00,BURGLARY OF AUTO
Burglary Auto,Penal Code,2300 WOOLSEY ST,2025-03-27 03:00:00,BURGLARY OF AUTO
Theft Misdemeanor (Under $950),Penal Code,3100 TELEGRAPH AVE,2024-09-09 22:50:00,PETTY THEFT (ALL OTHER)
Theft Misdemeanor (Under $950),Penal Code,2300   WOOLSEY ST,2024-05-15 17:43:00,PETTY THEFT (ALL OTHER)
Burglary Residential,Penal Code,2300 WOOLSEY ST,2024-02-20 09:00:00,BURGLARY - BREAKING AND ENTERING
Burglary Commercial,Penal Code,3100 TELEGRAPH AVE,2023-12-02 12:30:00,Burglary
Robbery,Penal Code,3100 TELEGRAPH AVE,2023-10-27 05:13:00,Robbery
Burglary Auto,Penal Code,2300 WOOLSEY ST,2023-07-20 11:35:00,Burglary of a locked automobile
Assault/Battery Misdemeanor,Penal Code,3100 TELEGRAPH AVE,2023-07-14 01:31:00,Battery with bodily injury
Burglary Auto,Penal Code,3100 TELEGRAPH AVE,2023-07-01 00:15:00,Burglary of a locked automobile
Identity Theft,Penal Code,1700   9TH ST,2024-04-10 14:55:00,GET CREDIT/ETC OTHER'S ID BY IDENTITY THEFT 
Disturbance,Penal Code,1700 9TH ST,2024-03-03 23:39:00,TRESPASSING
Vehicle Stolen,Vehicle Code,800 HEINZ AVE,2023-12-04 19:30:00,Take vehicle without owner's consent
Domestic violence,Vehicle Code,3100 TELEGRAPH AVE,2023-05-19 07:01:00,Evade police officer; willful or wanton disregard 
Burglary Auto,Penal Code,VIRGINIA ST  &  9TH ST,2023-10-11 01:30:00,Burglary of a locked automobile
Burglary Auto,Penal Code,700 HEINZ AVE,2023-11-07 17:30:00,Burglary of a locked automobile
Domestic violence,Vehicle Code,3100 TELEGRAPH AVE,2023-05-19 07:01:00,Tamper with vehicle
Burglary Residential,Penal Code,1700 9TH ST,2023-08-22 00:00:00,Burglary
Burglary Auto,Penal Code,2800 7TH ST,2023-09-14 21:00:00,Burglary of a locked automobile
Domestic violence,Penal Code,3100 TELEGRAPH AVE,2023-05-19 07:01:00,Battery: ex-spouse; dating; etc (no hospital required)
Burglary Auto,Penal Code,1700 9TH ST,2023-07-30 18:00:00,Burglary of a locked automobile
Sexual Assault Felony,Penal Code,700 HEINZ AVE,2023-08-07 08:00:00,Robbery
Assault/Battery Misdemeanor,Penal Code,2300 WOOLSEY ST,2023-04-28 00:03:00,Battery with bodily injury
Burglary Auto,Penal Code,1700 9TH ST,2023-07-30 17:00:00,Burglary of a locked automobile
