Incident_Type,Statute_Type,Block_Address,Occurred_Datetime,Statute_Description
Burglary Residential,Penal Code,BELVEDERE AVE  &  ROSE ST,2023-04-24 01:45:00,Exhibit deadly weapon other than firearm
Gun/Weapon,Penal Code,1200 HOPKINS ST,2023-01-02 02:57:00,Carry concealed dirk or dagger
Gun/Weapon,Penal Code,1200 HOPKINS ST,2023-01-02 02:57:00,Obstruct/resist peace officer/emergency personnel
Gun/Weapon,Penal Code,1200 HOPKINS ST,2023-01-02 02:57:00,CONTEMPT OF COURT:DISOBEY COURT ORDER/ETC
Burglary Residential,Penal Code,1200 ROSE ST,2023-01-01 22:21:00,CONSPIRACY:COMMIT CRIME
Burglary Residential,Penal Code,1200 ROSE ST,2023-01-01 22:21:00,Elder or dependent adult cruelty
Burglary Residential,Penal Code,1200 ROSE ST,2023-01-01 22:21:00,Burglary
Burglary Residential,Penal Code,1200 ROSE ST,2023-01-01 22:21:00,Receive known stolen property (over $950)
Burglary Residential,Penal Code,1200 ROSE ST,2023-01-01 22:21:00,Use others ID with intent defraud with prior conviction
Theft Misdemeanor (Under $950),Penal Code,2200 MARTIN LUTHER KING JR WAY,2025-01-01 08:00:00,PETTY THEFT (ALL OTHER)
Theft Misdemeanor (Under $950),Penal Code,2200   MARTIN LUTHER KING JR WAY,2024-04-08 18:00:00,PETTY THEFT (ALL OTHER)
Identity Theft,Penal Code,700 EUCLID AVE,2023-02-06 23:00:00,Obtain credit using another identification
Theft Misdemeanor (Under $950),Penal Code,1700 HOPKINS ST,2023-03-17 22:05:00,Petty Theft
Assault/Battery Misdemeanor,Penal Code,1700 ROSE ST,2023-02-14 00:16:00,ASSAULT
Fraud/Forgery,Penal Code,1 FAIRLAWN DR,2023-06-22 07:00:00,OBTAIN MONEY/ETC BY FALSE PRETENSES (UNDER $400)
Vehicle Recovered,Vehicle Code,1 FAIRLAWN DR,2023-04-16 20:00:00,Take vehicle without owner's consent
Burglary Residential,Penal Code,1 FAIRLAWN DR,2023-01-13 03:51:00,Burglary
Vehicle Code Violation,Vehicle Code,OREGON ST  &  SACRAMENTO ST,2024-12-30 12:40:00,EVADE PEACE OFFICER WITH WANTON DISREGARD FOR SAFETY
Theft Misdemeanor (Under $950),Penal Code,2800 STANTON ST,2024-10-10 07:38:00,THEFT OF VEHICLE PARTS
Disturbance,Penal Code,OREGON ST  &  SACRAMENTO ST,2024-08-29 06:05:00,THREATEN CRIME WITH INTENT TO TERRORIZE
Vandalism,Penal Code,2800 SACRAMENTO ST,2024-05-13 07:47:00,VANDALISM:DEFACE PROPERTY
Assault/Battery Misdemeanor,Penal Code,2800 SACRAMENTO ST,2024-02-21 22:00:00,BATTERY ON PERSON
Fraud/Forgery,Penal Code,2800 SACRAMENTO ST,2023-11-13 22:57:00,Forgery
Robbery,Penal Code,2800 SACRAMENTO ST,2023-11-01 06:30:00,Robbery
Assault/Battery Felony,Penal Code,SACRAMENTO ST  &  OREGON ST,2023-09-19 22:30:00,ASSAULT WITH FIREARM ON PERSON
Assault/Battery Felony,Penal Code,2800 SACRAMENTO ST,2023-08-17 03:36:00,Enhancement; Felony committed while on Bail or O/R
Vehicle Stolen,Vehicle Code,2300 LE CONTE AVE,2024-12-29 13:27:00,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT
Theft Misdemeanor (Under $950),Penal Code,2300 LE CONTE AVE,2024-12-16 04:16:00,PETTY THEFT OF PROPERTY FROM BUILDING
Assault/Battery Felony,Penal Code,2800 SACRAMENTO ST,2023-08-17 03:36:00,Threat of Violence upon an Executive Officer
Disturbance,Penal Code,2300 LE CONTE AVE,2024-09-09 17:01:00,THREATEN CRIME WITH INTENT TO TERRORIZE
Assault/Battery Felony,Penal Code,2800 SACRAMENTO ST,2023-08-17 03:36:00,Exhibit deadly weapon other than firearm
Disturbance,Penal Code,2300 LE CONTE AVE,2024-07-24 08:15:00,PEEK INTO INHABITED BUILDING W/LOITERING
Theft Misdemeanor (Under $950),Penal Code,2600 DERBY ST,2025-01-01 03:30:00,PETTY THEFT FROM VEHICLE
Assault/Battery Felony,Penal Code,2800 SACRAMENTO ST,2023-08-17 03:36:00,Battery against emergency personnel
Disturbance,Penal Code,2300 LE CONTE AVE,2024-07-24 08:15:00,DISORDERLY CONDUCT:LOITER/ETC PRIVATE PROPERTY
Burglary Auto,Penal Code,2600   DERBY ST,2024-10-24 03:00:00,BURGLARY OF AUTO
Assault/Battery Felony,Penal Code,2800 SACRAMENTO ST,2023-08-17 03:36:00,ATT REMOVE FIREARM FROM PEACE OFFICER/ETC:SPEC CIRC
Assault/Battery Misdemeanor,Penal Code,2300 LE CONTE AVE,2024-05-16 17:00:00,BATTERY ON PERSON
Vandalism,Vehicle Code,2700 HILLEGASS AVE,2024-09-26 09:00:00,Tamper with vehicle
Narcotics Violation,Health and Safety,SACRAMENTO ST  &  OREGON ST,2023-04-26 17:47:00,Possess narcotics paraphernalia
Theft Misdemeanor (Under $950),Penal Code,2300   LE CONTE AVE,2024-04-27 16:30:00,PETTY THEFT (ALL OTHER)
Assault/Battery Misdemeanor,Penal Code,2300 LE CONTE AVE,2024-04-12 01:00:00,BATTERY ON PERSON
Burglary Auto,Penal Code,2300 LE CONTE AVE,2024-03-12 00:40:00,BURGLARY OF AUTO
Burglary Residential,Penal Code,2300 LE CONTE AVE,2023-04-11 10:30:00,Burglary
Burglary Residential,Vehicle Code,2300 LE CONTE AVE,2023-04-11 10:30:00,Take vehicle without owner's consent
Identity Theft,Penal Code,2300 LE CONTE AVE,2023-01-23 20:50:00,Obtain credit using another identification
Assault/Battery Misdemeanor,Penal Code,2800 SACRAMENTO ST,2023-03-24 17:00:00,Battery with bodily injury
Vehicle Stolen,Vehicle Code,2700 HILLEGASS AVE,2024-04-28 13:10:00,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT
Vehicle Stolen,Vehicle Code,SACRAMENTO ST  &  OREGON ST,2023-03-04 00:18:00,Take vehicle without owner's consent
Theft Misdemeanor (Under $950),Penal Code,2600 DERBY ST,2024-04-25 23:01:00,PROBATION VIOLATION: REARREST/REVOKE
Theft Misdemeanor (Under $950),Penal Code,2600 DERBY ST,2024-04-25 23:01:00,PETTY THEFT (ALL OTHER)
Burglary Auto,Penal Code,2600 DERBY ST,2024-03-20 11:59:00,BURGLARY OF AUTO
Burglary Auto,Penal Code,2600 DERBY ST,2023-10-07 21:00:00,Burglary of a locked automobile
Theft Felony (over $950),Penal Code,2600 DERBY ST,2023-04-29 10:00:00,Grand theft: money; labor; or property over $950
Vehicle Stolen,Vehicle Code,2700 HILLEGASS AVE,2023-02-25 20:00:00,Take vehicle without owner's consent
Vehicle Stolen,Vehicle Code,2600 DERBY ST,2023-01-18 19:46:00,Take vehicle without owner's consent
Burglary Auto,Penal Code,1300 EUCLID AVE,2024-12-28 09:54:00,BURGLARY OF AUTO
Burglary Auto,Penal Code,1300 EUCLID AVE,2024-10-29 02:00:00,BURGLARY OF AUTO
